,Country or region,Overall rank,Score,Whisker.high,Whisker.low,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia.Residual
85,China,86,5.246,,,0.9890000000000001,1.1420000000000001,0.799,0.597,0.028999999999999998,0.10300000000000001,
86,Azerbaijan,87,5.2010000000000005,,,1.024,1.161,0.603,0.43,0.031,0.17600000000000002,
87,Tajikistan,88,5.199,,,0.474,1.166,0.598,0.292,0.187,0.034,
88,Macedonia,89,5.185,,,0.9590000000000001,1.239,0.691,0.39399999999999996,0.17300000000000001,0.052000000000000005,
89,Jordan,90,5.1610000000000005,,,0.8220000000000001,1.265,0.645,0.46799999999999997,0.13,0.134,
90,Nigeria,91,5.155,,,0.6890000000000001,1.172,0.048,0.462,0.201,0.032,
91,Kyrgyzstan,92,5.131,,,0.53,1.416,0.594,0.54,0.281,0.035,
92,Bosnia and Herzegovina,93,5.129,,,0.915,1.078,0.758,0.28,0.21600000000000003,0.0,
93,Mongolia,94,5.125,,,0.914,1.517,0.575,0.395,0.253,0.032,
94,Vietnam,95,5.103,,,0.715,1.365,0.7020000000000001,0.618,0.177,0.079,
95,Indonesia,96,5.093,,,0.899,1.215,0.522,0.5379999999999999,0.484,0.018000000000000002,
96,Bhutan,97,5.082,,,0.7959999999999999,1.335,0.527,0.541,0.364,0.171,
97,Somalia,98,4.982,,,0.0,0.7120000000000001,0.115,0.674,0.23800000000000002,0.282,
98,Cameroon,99,4.975,,,0.535,0.8909999999999999,0.182,0.45399999999999996,0.183,0.043,
99,Bulgaria,100,4.933,,,1.054,1.515,0.7120000000000001,0.359,0.064,0.009000000000000001,
100,Nepal,101,4.88,,,0.425,1.228,0.539,0.526,0.302,0.078,
101,Venezuela,102,4.806,,,0.996,1.469,0.657,0.133,0.055999999999999994,0.052000000000000005,
102,Gabon,103,4.758,,,1.036,1.1640000000000001,0.40399999999999997,0.35600000000000004,0.032,0.052000000000000005,
103,Palestinian Territories,104,4.743,,,0.642,1.217,0.602,0.266,0.086,0.076,
104,South Africa,105,4.724,,,0.94,1.41,0.33,0.516,0.10300000000000001,0.055999999999999994,
105,Iran,106,4.707,,,1.0590000000000002,0.7709999999999999,0.691,0.45899999999999996,0.282,0.129,
106,Ivory Coast,107,4.671,,,0.541,0.872,0.08,0.467,0.146,0.10300000000000001,
107,Ghana,108,4.657,,,0.5920000000000001,0.8959999999999999,0.337,0.499,0.212,0.028999999999999998,
108,Senegal,109,4.631,,,0.429,1.117,0.433,0.406,0.138,0.08199999999999999,
109,Laos,110,4.623,,,0.72,1.034,0.441,0.626,0.23,0.174,
110,Tunisia,111,4.592,,,0.9,0.9059999999999999,0.69,0.271,0.04,0.063,
111,Albania,112,4.586,,,0.9159999999999999,0.8170000000000001,0.79,0.419,0.149,0.032,
112,Sierra Leone,113,4.571000000000001,,,0.256,0.813,0.0,0.355,0.23800000000000002,0.053,
113,Congo (Brazzaville),114,4.559,,,0.682,0.8109999999999999,0.34299999999999997,0.514,0.091,0.077,
114,Bangladesh,115,4.5,,,0.532,0.85,0.579,0.58,0.153,0.14400000000000002,
115,Sri Lanka,116,4.471,,,0.9179999999999999,1.314,0.672,0.585,0.307,0.05,
116,Iraq,117,4.456,,,1.01,0.971,0.536,0.304,0.14800000000000002,0.095,
117,Mali,118,4.447,,,0.37,1.2329999999999999,0.152,0.36700000000000005,0.139,0.055999999999999994,
118,Namibia,119,4.441,,,0.8740000000000001,1.281,0.365,0.519,0.051,0.064,
119,Cambodia,120,4.433,,,0.5489999999999999,1.088,0.457,0.696,0.256,0.065,
120,Burkina Faso,121,4.4239999999999995,,,0.314,1.097,0.254,0.312,0.175,0.128,
121,Egypt,122,4.419,,,0.885,1.025,0.5529999999999999,0.312,0.092,0.107,
122,Mozambique,123,4.417,,,0.198,0.902,0.17300000000000001,0.531,0.20600000000000002,0.158,
123,Kenya,124,4.41,,,0.493,1.048,0.45399999999999996,0.504,0.35200000000000004,0.055,
124,Zambia,125,4.377,,,0.562,1.047,0.295,0.503,0.221,0.08199999999999999,
125,Mauritania,126,4.356,,,0.557,1.245,0.292,0.129,0.134,0.09300000000000001,
126,Ethiopia,127,4.35,,,0.308,0.95,0.391,0.452,0.22,0.146,
127,Georgia,128,4.34,,,0.853,0.5920000000000001,0.643,0.375,0.038,0.215,
128,Armenia,129,4.321000000000001,,,0.816,0.99,0.6659999999999999,0.26,0.077,0.027999999999999997,
129,Myanmar,130,4.308,,,0.682,1.1740000000000002,0.429,0.58,0.598,0.17800000000000002,
130,Chad,131,4.301,,,0.358,0.907,0.053,0.18899999999999997,0.18100000000000002,0.06,
131,Congo (Kinshasa),132,4.245,,,0.069,1.136,0.204,0.312,0.19699999999999998,0.052000000000000005,
132,India,133,4.19,,,0.721,0.747,0.485,0.539,0.172,0.09300000000000001,
133,Niger,134,4.166,,,0.131,0.867,0.221,0.39,0.175,0.099,
134,Uganda,135,4.1610000000000005,,,0.322,1.09,0.237,0.45,0.259,0.061,
135,Benin,136,4.141,,,0.37799999999999995,0.37200000000000005,0.24,0.44,0.163,0.067,
136,Sudan,137,4.138999999999999,,,0.605,1.24,0.312,0.016,0.134,0.08199999999999999,
137,Ukraine,138,4.103,,,0.7929999999999999,1.413,0.609,0.163,0.187,0.011000000000000001,
138,Togo,139,3.9989999999999997,,,0.259,0.474,0.253,0.434,0.158,0.10099999999999999,
139,Guinea,140,3.964,,,0.344,0.792,0.21100000000000002,0.39399999999999996,0.185,0.094,
140,Lesotho,141,3.8080000000000003,,,0.47200000000000003,1.215,0.079,0.423,0.11599999999999999,0.11199999999999999,
141,Angola,142,3.795,,,0.73,1.125,0.26899999999999996,0.0,0.079,0.061,
142,Madagascar,143,3.7739999999999996,,,0.262,0.9079999999999999,0.402,0.221,0.155,0.049,
143,Zimbabwe,144,3.6919999999999997,,,0.35700000000000004,1.094,0.248,0.406,0.132,0.099,
144,Afghanistan,145,3.6319999999999997,,,0.332,0.537,0.255,0.085,0.191,0.036000000000000004,
145,Botswana,146,3.59,,,1.0170000000000001,1.1740000000000002,0.41700000000000004,0.557,0.042,0.092,
146,Malawi,147,3.5869999999999997,,,0.18600000000000003,0.541,0.306,0.531,0.21,0.08,
147,Haiti,148,3.582,,,0.315,0.7140000000000001,0.289,0.025,0.392,0.10400000000000001,
148,Liberia,149,3.495,,,0.076,0.858,0.267,0.419,0.20600000000000002,0.03,
149,Syria,150,3.4619999999999997,,,0.6890000000000001,0.382,0.539,0.08800000000000001,0.376,0.14400000000000002,
150,Rwanda,151,3.408,,,0.332,0.8959999999999999,0.4,0.636,0.2,0.444,
151,Yemen,152,3.355,,,0.442,1.073,0.34299999999999997,0.244,0.083,0.064,
152,Tanzania,153,3.303,,,0.455,0.991,0.381,0.48100000000000004,0.27,0.09699999999999999,
153,South Sudan,154,3.2539999999999996,,,0.337,0.608,0.177,0.11199999999999999,0.22399999999999998,0.106,
154,Central African Republic,155,3.083,,,0.024,0.0,0.01,0.305,0.218,0.038,
155,Burundi,156,2.905,,,0.091,0.627,0.145,0.065,0.149,0.076,
0,Finland,1,7.769,,,1.34,1.587,0.986,0.596,0.153,0.39299999999999996,
1,Denmark,2,7.6,,,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,
2,Norway,3,7.553999999999999,,,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,0.341,
3,Iceland,4,7.494,,,1.38,1.624,1.026,0.591,0.354,0.11800000000000001,
4,Netherlands,5,7.4879999999999995,,,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298,
5,Switzerland,6,7.48,,,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997,
6,Sweden,7,7.343,,,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,0.373,
7,New Zealand,8,7.307,,,1.3030000000000002,1.557,1.026,0.585,0.33,0.38,
8,Canada,9,7.278,,,1.365,1.505,1.0390000000000001,0.584,0.285,0.308,
9,Austria,10,7.246,,,1.376,1.475,1.016,0.532,0.244,0.226,
10,Australia,11,7.228,,,1.3719999999999999,1.548,1.036,0.557,0.332,0.29,
11,Costa Rica,12,7.167000000000001,,,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001,
12,Israel,13,7.138999999999999,,,1.276,1.455,1.0290000000000001,0.371,0.261,0.08199999999999999,
13,Luxembourg,14,7.09,,,1.609,1.479,1.012,0.526,0.19399999999999998,0.316,
14,United Kingdom,15,7.053999999999999,,,1.3330000000000002,1.538,0.996,0.45,0.348,0.278,
15,Ireland,16,7.021,,,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298,0.31,
16,Germany,17,6.985,,,1.3730000000000002,1.454,0.987,0.495,0.261,0.265,
17,Belgium,18,6.922999999999999,,,1.3559999999999999,1.504,0.986,0.473,0.16,0.21,
18,United States,19,6.892,,,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.28,0.128,
19,Czech Republic,20,6.852,,,1.2690000000000001,1.4869999999999999,0.92,0.457,0.046,0.036000000000000004,
20,United Arab Emirates,21,6.825,,,1.5030000000000001,1.31,0.825,0.598,0.262,0.182,
21,Malta,22,6.726,,,1.3,1.52,0.9990000000000001,0.564,0.375,0.151,
22,Mexico,23,6.595,,,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073,
23,France,24,6.5920000000000005,,,1.324,1.472,1.045,0.436,0.111,0.183,
24,Taiwan,25,6.446000000000001,,,1.368,1.43,0.914,0.35100000000000003,0.242,0.09699999999999999,
25,Chile,26,6.444,,,1.159,1.369,0.92,0.35700000000000004,0.187,0.055999999999999994,
26,Guatemala,27,6.436,,,0.8,1.2690000000000001,0.746,0.535,0.175,0.078,
27,Saudi Arabia,28,6.375,,,1.403,1.357,0.795,0.439,0.08,0.132,
28,Qatar,29,6.374,,,1.6840000000000002,1.3130000000000002,0.871,0.555,0.22,0.16699999999999998,
29,Spain,30,6.354,,,1.286,1.484,1.062,0.36200000000000004,0.153,0.079,
30,Panama,31,6.321000000000001,,,1.149,1.442,0.91,0.516,0.109,0.054000000000000006,
31,Brazil,32,6.3,,,1.004,1.439,0.802,0.39,0.099,0.086,
32,Uruguay,33,6.292999999999999,,,1.124,1.465,0.8909999999999999,0.523,0.127,0.15,
33,Singapore,34,6.2620000000000005,,,1.5719999999999998,1.463,1.141,0.556,0.271,0.45299999999999996,
34,El Salvador,35,6.252999999999999,,,0.794,1.242,0.789,0.43,0.09300000000000001,0.07400000000000001,
35,Italy,36,6.223,,,1.294,1.4880000000000002,1.0390000000000001,0.231,0.158,0.03,
36,Bahrain,37,6.199,,,1.3619999999999999,1.368,0.871,0.536,0.255,0.11,
37,Slovakia,38,6.1979999999999995,,,1.246,1.504,0.8809999999999999,0.33399999999999996,0.121,0.013999999999999999,
38,Trinidad & Tobago,39,6.192,,,1.2309999999999999,1.4769999999999999,0.713,0.489,0.185,0.016,
39,Poland,40,6.182,,,1.206,1.4380000000000002,0.884,0.483,0.11699999999999999,0.05,
40,Uzbekistan,41,6.1739999999999995,,,0.745,1.5290000000000001,0.7559999999999999,0.631,0.322,0.24,
41,Lithuania,42,6.149,,,1.238,1.515,0.818,0.29100000000000004,0.043,0.042,
42,Colombia,43,6.125,,,0.985,1.41,0.841,0.47,0.099,0.034,
43,Slovenia,44,6.117999999999999,,,1.258,1.5230000000000001,0.953,0.564,0.14400000000000002,0.057,
44,Nicaragua,45,6.105,,,0.6940000000000001,1.325,0.835,0.435,0.2,0.127,
45,Kosovo,46,6.1,,,0.882,1.232,0.758,0.489,0.262,0.006,
46,Argentina,47,6.086,,,1.092,1.432,0.8809999999999999,0.47100000000000003,0.066,0.05,
47,Romania,48,6.07,,,1.162,1.232,0.825,0.462,0.083,0.005,
48,Cyprus,49,6.046,,,1.263,1.2229999999999999,1.042,0.406,0.19,0.040999999999999995,
49,Ecuador,50,6.028,,,0.912,1.3119999999999998,0.868,0.498,0.126,0.087,
50,Kuwait,51,6.021,,,1.5,1.319,0.8079999999999999,0.493,0.142,0.09699999999999999,
51,Thailand,52,6.007999999999999,,,1.05,1.409,0.828,0.557,0.359,0.027999999999999997,
52,Latvia,53,5.94,,,1.187,1.465,0.812,0.264,0.075,0.064,
53,South Korea,54,5.895,,,1.301,1.219,1.036,0.159,0.175,0.055999999999999994,
54,Estonia,55,5.893,,,1.237,1.528,0.8740000000000001,0.495,0.10300000000000001,0.161,
55,Jamaica,56,5.89,,,0.831,1.4780000000000002,0.831,0.49,0.107,0.027999999999999997,
56,Mauritius,57,5.888,,,1.12,1.402,0.7979999999999999,0.498,0.215,0.06,
57,Japan,58,5.886,,,1.327,1.419,1.088,0.445,0.069,0.14,
58,Honduras,59,5.86,,,0.642,1.236,0.828,0.507,0.24600000000000002,0.078,
59,Kazakhstan,60,5.809,,,1.173,1.508,0.7290000000000001,0.41,0.146,0.096,
60,Bolivia,61,5.779,,,0.7759999999999999,1.209,0.706,0.511,0.13699999999999998,0.064,
61,Hungary,62,5.757999999999999,,,1.2009999999999998,1.41,0.828,0.19899999999999998,0.081,0.02,
62,Paraguay,63,5.742999999999999,,,0.855,1.475,0.777,0.514,0.184,0.08,
63,Northern Cyprus,64,5.718,,,1.263,1.252,1.042,0.41700000000000004,0.191,0.162,
64,Peru,65,5.697,,,0.96,1.274,0.8540000000000001,0.455,0.083,0.027000000000000003,
65,Portugal,66,5.693,,,1.2209999999999999,1.431,0.9990000000000001,0.508,0.047,0.025,
66,Pakistan,67,5.653,,,0.677,0.8859999999999999,0.535,0.313,0.22,0.098,
67,Russia,68,5.648,,,1.183,1.452,0.726,0.33399999999999996,0.08199999999999999,0.031,
68,Philippines,69,5.631,,,0.807,1.2930000000000001,0.657,0.5579999999999999,0.11699999999999999,0.107,
69,Serbia,70,5.603,,,1.004,1.383,0.8540000000000001,0.282,0.13699999999999998,0.039,
70,Moldova,71,5.529,,,0.685,1.328,0.7390000000000001,0.245,0.18100000000000002,0.0,
71,Libya,72,5.525,,,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004,0.133,0.152,
72,Montenegro,73,5.523,,,1.051,1.361,0.871,0.19699999999999998,0.142,0.08,
73,Tajikistan,74,5.4670000000000005,,,0.493,1.0979999999999999,0.718,0.389,0.23,0.14400000000000002,
74,Croatia,75,5.432,,,1.155,1.266,0.914,0.29600000000000004,0.11900000000000001,0.022000000000000002,
75,Hong Kong,76,5.43,,,1.4380000000000002,1.2770000000000001,1.122,0.44,0.258,0.287,
76,Dominican Republic,77,5.425,,,1.015,1.401,0.779,0.49700000000000005,0.113,0.10099999999999999,
77,Bosnia and Herzegovina,78,5.386,,,0.945,1.212,0.845,0.212,0.263,0.006,
78,Turkey,79,5.372999999999999,,,1.183,1.36,0.8079999999999999,0.195,0.083,0.106,
79,Malaysia,80,5.3389999999999995,,,1.2209999999999999,1.171,0.828,0.508,0.26,0.024,
80,Belarus,81,5.3229999999999995,,,1.067,1.465,0.789,0.235,0.094,0.142,
81,Greece,82,5.287000000000001,,,1.181,1.156,0.9990000000000001,0.067,0.0,0.034,
82,Mongolia,83,5.285,,,0.948,1.531,0.667,0.317,0.235,0.038,
83,North Macedonia,84,5.274,,,0.983,1.294,0.838,0.345,0.185,0.034,
84,Nigeria,85,5.265,,,0.696,1.111,0.245,0.426,0.215,0.040999999999999995,
85,Kyrgyzstan,86,5.261,,,0.551,1.4380000000000002,0.723,0.508,0.3,0.023,
86,Turkmenistan,87,5.247000000000001,,,1.052,1.538,0.657,0.39399999999999996,0.244,0.027999999999999997,
87,Algeria,88,5.211,,,1.002,1.16,0.785,0.086,0.073,0.114,
88,Morocco,89,5.207999999999999,,,0.8009999999999999,0.782,0.782,0.418,0.036000000000000004,0.076,
89,Azerbaijan,90,5.207999999999999,,,1.043,1.147,0.769,0.35100000000000003,0.035,0.182,
90,Lebanon,91,5.197,,,0.987,1.224,0.815,0.21600000000000003,0.166,0.027000000000000003,
91,Indonesia,92,5.192,,,0.9309999999999999,1.203,0.66,0.491,0.498,0.027999999999999997,
92,China,93,5.191,,,1.0290000000000001,1.125,0.893,0.521,0.057999999999999996,0.1,
93,Vietnam,94,5.175,,,0.741,1.3459999999999999,0.851,0.5429999999999999,0.147,0.073,
94,Bhutan,95,5.082,,,0.813,1.321,0.604,0.457,0.37,0.16699999999999998,
95,Cameroon,96,5.044,,,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005,
96,Bulgaria,97,5.011,,,1.092,1.5130000000000001,0.815,0.311,0.081,0.004,
97,Ghana,98,4.996,,,0.611,0.868,0.486,0.381,0.245,0.04,
98,Ivory Coast,99,4.944,,,0.569,0.8079999999999999,0.23199999999999998,0.35200000000000004,0.154,0.09,
99,Nepal,100,4.913,,,0.446,1.226,0.677,0.439,0.285,0.08900000000000001,
100,Jordan,101,4.906000000000001,,,0.8370000000000001,1.225,0.815,0.38299999999999995,0.11,0.13,
101,Benin,102,4.883,,,0.39299999999999996,0.43700000000000006,0.397,0.349,0.175,0.08199999999999999,
102,Congo (Brazzaville),103,4.812,,,0.6729999999999999,0.799,0.508,0.37200000000000005,0.105,0.09300000000000001,
103,Gabon,104,4.7989999999999995,,,1.057,1.183,0.5710000000000001,0.295,0.043,0.055,
104,Laos,105,4.796,,,0.764,1.03,0.551,0.547,0.266,0.16399999999999998,
105,South Africa,106,4.7219999999999995,,,0.96,1.351,0.469,0.389,0.13,0.055,
106,Albania,107,4.718999999999999,,,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.17800000000000002,0.027000000000000003,
107,Venezuela,108,4.707,,,0.96,1.4269999999999998,0.805,0.154,0.064,0.047,
108,Cambodia,109,4.7,,,0.574,1.122,0.637,0.609,0.23199999999999998,0.062,
109,Palestinian Territories,110,4.696000000000001,,,0.657,1.247,0.672,0.225,0.10300000000000001,0.066,
110,Senegal,111,4.681,,,0.45,1.1340000000000001,0.5710000000000001,0.292,0.153,0.07200000000000001,
111,Somalia,112,4.668,,,0.0,0.698,0.268,0.5589999999999999,0.243,0.27,
112,Namibia,113,4.638999999999999,,,0.879,1.3130000000000002,0.47700000000000004,0.401,0.07,0.055999999999999994,
113,Niger,114,4.628,,,0.138,0.774,0.366,0.318,0.188,0.102,
114,Burkina Faso,115,4.587,,,0.331,1.056,0.38,0.255,0.177,0.113,
115,Armenia,116,4.559,,,0.85,1.055,0.815,0.28300000000000003,0.095,0.064,
116,Iran,117,4.548,,,1.1,0.8420000000000001,0.785,0.305,0.27,0.125,
117,Guinea,118,4.534,,,0.38,0.8290000000000001,0.375,0.332,0.207,0.086,
118,Georgia,119,4.519,,,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998,
119,Gambia,120,4.516,,,0.308,0.9390000000000001,0.428,0.382,0.26899999999999996,0.16699999999999998,
120,Kenya,121,4.5089999999999995,,,0.512,0.983,0.581,0.431,0.37200000000000005,0.053,
121,Mauritania,122,4.49,,,0.57,1.167,0.489,0.066,0.106,0.08800000000000001,
122,Mozambique,123,4.466,,,0.204,0.986,0.39,0.494,0.19699999999999998,0.138,
123,Tunisia,124,4.461,,,0.9209999999999999,1.0,0.815,0.16699999999999998,0.059000000000000004,0.055,
124,Bangladesh,125,4.456,,,0.562,0.9279999999999999,0.723,0.527,0.166,0.14300000000000002,
125,Iraq,126,4.437,,,1.043,0.98,0.574,0.24100000000000002,0.14800000000000002,0.08900000000000001,
126,Congo (Kinshasa),127,4.418,,,0.094,1.125,0.35700000000000004,0.26899999999999996,0.212,0.053,
127,Mali,128,4.39,,,0.385,1.105,0.308,0.327,0.153,0.052000000000000005,
128,Sierra Leone,129,4.374,,,0.268,0.841,0.242,0.309,0.252,0.045,
129,Sri Lanka,130,4.3660000000000005,,,0.9490000000000001,1.265,0.831,0.47,0.244,0.047,
130,Myanmar,131,4.36,,,0.71,1.181,0.555,0.525,0.5660000000000001,0.172,
131,Chad,132,4.35,,,0.35,0.7659999999999999,0.192,0.174,0.198,0.078,
132,Ukraine,133,4.332,,,0.82,1.39,0.7390000000000001,0.17800000000000002,0.187,0.01,
133,Ethiopia,134,4.2860000000000005,,,0.336,1.033,0.532,0.344,0.209,0.1,
134,Swaziland,135,4.212,,,0.8109999999999999,1.149,0.0,0.313,0.07400000000000001,0.135,
135,Uganda,136,4.189,,,0.332,1.069,0.44299999999999995,0.35600000000000004,0.252,0.06,
136,Egypt,137,4.166,,,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076,0.067,
137,Zambia,138,4.107,,,0.578,1.058,0.426,0.431,0.247,0.087,
138,Togo,139,4.085,,,0.275,0.5720000000000001,0.41,0.293,0.177,0.085,
139,India,140,4.015,,,0.755,0.765,0.588,0.498,0.2,0.085,
140,Liberia,141,3.975,,,0.073,0.922,0.44299999999999995,0.37,0.233,0.033,
141,Comoros,142,3.9730000000000003,,,0.27399999999999997,0.757,0.505,0.142,0.275,0.078,
142,Madagascar,143,3.9330000000000003,,,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995,
143,Lesotho,144,3.802,,,0.489,1.169,0.168,0.359,0.107,0.09300000000000001,
144,Burundi,145,3.775,,,0.046,0.447,0.38,0.22,0.17600000000000002,0.18,
145,Zimbabwe,146,3.6630000000000003,,,0.366,1.114,0.433,0.361,0.151,0.08900000000000001,
146,Haiti,147,3.597,,,0.32299999999999995,0.688,0.449,0.026000000000000002,0.419,0.11,
147,Botswana,148,3.488,,,1.041,1.145,0.5379999999999999,0.455,0.025,0.1,
148,Syria,149,3.4619999999999997,,,0.619,0.37799999999999995,0.44,0.013000000000000001,0.331,0.141,
149,Malawi,150,3.41,,,0.191,0.56,0.495,0.44299999999999995,0.218,0.08900000000000001,
150,Yemen,151,3.38,,,0.287,1.163,0.46299999999999997,0.14300000000000002,0.10800000000000001,0.077,
151,Rwanda,152,3.3339999999999996,,,0.359,0.711,0.614,0.555,0.217,0.41100000000000003,
152,Tanzania,153,3.2310000000000003,,,0.47600000000000003,0.885,0.499,0.41700000000000004,0.276,0.147,
153,Afghanistan,154,3.2030000000000003,,,0.35,0.517,0.361,0.0,0.158,0.025,
154,Central African Republic,155,3.083,,,0.026000000000000002,0.0,0.105,0.225,0.235,0.035,
155,South Sudan,156,2.853,,,0.306,0.575,0.295,0.01,0.20199999999999999,0.091,
